,0
0,2.9593235024234703
1,2.6890501557734976
2,2.6467925595958333
3,2.6122580341428345
4,2.5800673403935126
5,2.5499249090228164
6,2.525393625449019
7,2.5014936547530326
8,2.478745078482823
9,2.458758292839541
10,2.4421563009072464
11,2.425694630159969
12,2.4096490109873097
13,2.391757535655596
14,2.3770337341821683
15,2.363347566615768
16,2.348583121048777
17,2.3373729499459963
18,2.324572207634909
19,2.3094047063972516
20,2.296530454479463
21,2.286799310940748
22,2.2718825340270996
23,2.2660761060770493
24,2.251569884562353
25,2.24141822502627
26,2.231264062792237
27,2.222726978056612
28,2.2135536768283064
29,2.2046250265244156
30,2.1970141463809543
31,2.1861208391468425
32,2.1771219487775837
33,2.1713370691265976
34,2.1602947698001973
35,2.1512252001734504
36,2.1459249125586615
37,2.13907413873059
38,2.1323979486498916
39,2.129847196110508
40,2.118036551085132
41,2.113543050330982
42,2.1024276624646103
43,2.096511111621968
44,2.091198764349285
45,2.0831028829541123
46,2.078404308062548
47,2.07203159415931
48,2.065269608246653
49,2.0611456325876785
50,2.0577356160035607
51,2.049625837314896
52,2.0445230578818516
53,2.0391920804977417
54,2.0340704785452948
55,2.0260180904154192
56,2.02288838367016
57,2.017932759390937
58,2.0122192881957828
59,2.0081777684172692
60,2.004112879435221
61,2.0003812870784112
62,1.991900911108095
63,1.9908389724486055
64,1.9836563332039012
65,1.9831834578374674
66,1.977213570249011
67,1.9703069953193442
68,1.9676425728881568
69,1.961327498419243
70,1.9645630476767557
71,1.955679823083487
72,1.95587486481806
73,1.9515382706770423
74,1.9420805026216117
75,1.9403359032513803
76,1.9362657941572847
77,1.9312702229148464
78,1.9284381699143796
79,1.9273822216959724
80,1.9232311506717525
81,1.9193611995518556
82,1.920548719272279
83,1.9093951997701188
84,1.9072379062050266
85,1.9004487468485247
86,1.9031807860435799
87,1.8989118281860797
88,1.8972801597494828
89,1.8955306853467262
90,1.8874534145433304
91,1.88852219971997
92,1.8807801335875751
93,1.8790105393058376
94,1.8782687967980813
95,1.8705575284902116
96,1.8733757936466506
97,1.8665044558675665
98,1.8612039723591498
99,1.860694027783578
100,1.8571305323762504
101,1.8617398662176745
102,1.8537845067810594
103,1.8504956800338122
104,1.8480912000812284
105,1.8449869825128924
106,1.8426347050750465
107,1.8420720713877539
108,1.8377366386658964
109,1.8329526876148425
110,1.8294255405838726
111,1.8285761242024383
112,1.8261269637715747
113,1.8232647724318922
114,1.8242632032137864
115,1.8230695361979523
116,1.8149203856786091
117,1.8138793936946935
118,1.8103039445932845
119,1.8123884103451555
120,1.8137994969797413
121,1.801274061203003
122,1.8034245382275498
123,1.798949958985312
124,1.798335814336587
125,1.7987809250926414
126,1.7940447909093042
127,1.7937275966008503
128,1.7893303284171032
129,1.7849884165657892
130,1.7870350344139232
131,1.7839756304757637
132,1.779356633013452
133,1.7795325684965702
134,1.7697363980332312
135,1.7776799404133132
136,1.7732013972879153
137,1.7749704199227674
138,1.765960971514384
139,1.7629073690949826
140,1.7677615553314923
141,1.7669563920874345
142,1.7593541403262936
143,1.757662080184758
144,1.756205565748159
145,1.7555624971612853
146,1.7510851935336464
147,1.7501035594103629
148,1.750098234728763
149,1.7473547911783407
150,1.7446426383235998
151,1.7466613974487573
152,1.7430083507682845
153,1.7457704111846566
154,1.740149352285597
155,1.73655805253146
156,1.7337667711994105
157,1.7343309748242473
158,1.7311121406610945
159,1.7309521771313852
160,1.7265601074486447
161,1.726344018651728
162,1.7282435287509048
163,1.7227881888897099
164,1.726000486061587
165,1.720086654027303
166,1.718655901345593
167,1.7155083620060256
168,1.7155418305369148
169,1.7153575036957946
170,1.7120494542763247
171,1.7079356023442676
172,1.7085103333344933
173,1.7088254711084199
174,1.706454186411629
175,1.7052683370155202
176,1.7020574354986002
177,1.705363945654261
178,1.6969299678914032
179,1.7025435375191316
180,1.6959414168408042
181,1.6905110405202497
182,1.6951182062862908
183,1.6906772935599612
184,1.6910152449245341
185,1.6946960401813886
186,1.690627388089721
187,1.683501050486202
188,1.6909021048517952
189,1.6851465381376924
190,1.6805754251647413
191,1.6822059712214776
192,1.6832599326183921
193,1.676665166665239
194,1.6740113517694306
195,1.6806392634821217
196,1.672987517557646
197,1.6713573089119984
198,1.6720098236150909
199,1.6708467480731986
200,1.6696068055448476
201,1.6680886285346852
202,1.6666935305846364
203,1.6654324608239515
204,1.664899204209534
205,1.6610143191633169
206,1.6623326456337644
207,1.6606728863297848
208,1.658279536063211
209,1.6573948797426725
210,1.6525406210046065
211,1.656870612624096
212,1.6568621731641
213,1.6499275889313012
214,1.6479161566461038
215,1.646471627274452
216,1.6481731718743753
217,1.6459998136375382
218,1.6463341106448257
219,1.6410919413929097
220,1.6378620061260916
221,1.6471052915729276
222,1.6384084175901803
223,1.6373616680067185
224,1.6412454376443786
225,1.6366078951205427
226,1.6358746562087745
227,1.634605908951564
228,1.6361472669400667
229,1.6315912482334158
230,1.6292451947753193
231,1.632295458637483
232,1.6337886979008278
233,1.630676235371863
234,1.6213172987887734
